MonthIssued,NumberOfCertificatesIssued,NumberOfTemporaryCertificatesIssued
2018-01,141,53
2018-02,94,29
2018-03,99,31
2018-04,82,65
2018-05,125,66
2018-06,59,94
2018-07,137,52
2018-08,71,79
2018-09,39,63
2018-10,104,64
2018-11,83,145
2018-12,96,96
